Sujeito,Função,Norma (competência),Descrição,Previsão regimental,L.O.M.,CESP,CRFB1988
Vereador,Presidente da Mesa,deve,"Devolver ao autor, mediante decisão devidamente fundamentada, proposições quando, apresentadas antes do prazo regimental fixado no artigo 215 e sem a exigência dele constante, consubstanciem matéria anteriormente rejeitada ou vetada e com veto mantido","212, §1, III",,,
Vereador,Presidente da Mesa,deve,"Devolver ao autor, mediante decisão devidamente fundamentada, proposições que contiver o mesmo teor de outra já apresentada na mesma sessão legislativa, e as que disponham no mesmo sentido de lei existente, sem alterá-la, verificado pela seção competente, salvo recurso ao Plenário","212, §1, IV",,,
Vereador,Presidente da Mesa,deve,"Despachar as indicações propostas por Vereadores, independentemente de deliberação do Plenário ","219, §u",,,
Vereador,Presidente da Mesa,deve,Despachar de plano requerimentos de retificação de Ata,"223, II",,,
Vereador,Presidente da Mesa,tem competência para,"Propor projeto de emenda à Lei Orgânica do Município, subscrito por mín. 1/3 da Casa","233, §1",,,
Vereador,Presidente da Mesa,deve,"determinar intervalo mínimo de 48 (quarenta e oito) horas entre a primeira e a segunda votação de todos os projetos de lei, ressalvado o previsto no Título XI do Regimento Interno, quando organizar a pauta da Ordem do Dia","242, §2",,,
Vereador,Presidente da Mesa,deve,Despachar e determinar o arquivamento de projetos rejeitados em qualquer fase da discussão,"244; 287, §4",,,
Vereador,Presidente da Mesa,deve,"Encaminhar a votação de projeto, que se fará em bloco, quando encerrada a discussão","250, 255",,,
Vereador,Presidente da Mesa,tem competência para,Submeter ao Plenário requerimento que solicite que as emendas sejam votadas em bloco ou em grupos devidamente especificados,"252, §3",,,
Vereador,Presidente da Mesa,deve,"Encaminhar votação das emendas - que serão lidas e votadas, uma a uma, respeitando-se a preferência para as emendas de autoria de Comissão, na ordem direta de sua apresentação, e não se admitindo pedido de preferência para votação destas - após ter sido aprovado o projeto inicial ou substitutivo","252, 256",,,
Vereador,Presidente da Mesa,deve,Despachar e enviar à Comissão de mérito para redigir o vencido (no prazo de 5 dias) o projeto inicial ou o substitutivo com emendas devidamente aprovado ,"253, 258",,,
Vereador,Presidente da Mesa,tem competência para,"Propor que as emendas sejam votadas por grupos devidamente especificados ou em bloco, sujeito a aprovação do Plenário ","272, §1",,,
Vereador,Presidente da Mesa,deve,Considerar prejudicados os substitutivos ou emendas impertinentes ao projeto erroneamente recebidos pela Mesa ,"273, §u",,,
Vereador,Presidente da Mesa,deve,"Organizar as falas das discussões de forma que, tanto quanto possível, depois de cada orador favorável fale sempre um contrário, e vice-versa ","277, §1, §2, §3",,,
Vereador,Presidente da Mesa,tem a prerrogativa de,"poder voltar à tribuna para falar, por 15 minutos além do tempo regimental de fala, para dar explicação sobre projeto da Mesa, por requerimento de 1/3 dos membros da Câmara ","279, §1",,,
Vereador,Presidente da Mesa,deve,"Assinar e apresentar à Câmara balancetes mensais das verbas recebidas e aplicadas pela Casa, até o dia 20 do mês seguinte","28, I; 29",,,
Vereador,Presidente da Mesa,deve,Rejeitar e não enviar à publicação os apartes em desacordo com os dispositivos regimentais,"283, §2",,,
Vereador,Presidente da Mesa,deve,Encerrar a discussão por falta de inscrução de orador ,"284, I",,,
Vereador,Presidente da Mesa,deve,Encerrar a discussão por disposição legal: considera-se qualquer matéria em fase de votação a partir do momento em que o Presidente declara encerrada a discussão ,"284, II; 287, §1",,,
Vereador,Presidente da Mesa,deve,"Declarar prorrogada a sessão até a conclusão da votação quando, no curso de uma coleta de votos, esgotar-se o tempo da sessão, exceto quando faltar quórum para deliberação, caso em que a sessão deve ser encerrada imediatamente ","287, §2",,,
Vereador,Presidente da Mesa,deve,"Declarar encerrada a sessão quando o tempo a ela desitnada acabar no curso de coleta de votos, e não houver quórum para deliberação nem requerimento de prorrogação","287, §2",,,
Vereador,Presidente da Mesa,deve,"Colocar na pauta da Ordem do Dia da próxima sessão projeto que, pela falta de quorum para deliberação, fez-se pendente de votação","287, §3; 296, §6; 301, §4",,,
Vereador,Presidente da Mesa,deve,"Despachar como rejeitado e determinar o arquivamento de projetos que, necessitando ""quorum"" de 3/5 (três quintos) para aprovação, tiverem mais de 2/5 (dois quintos) de votos contrários","287, §4, I",,,
Vereador,Presidente da Mesa,deve,"Despachar (declarar rejeitado) e determinar o arquivamento de projetos que, necessitando ""quorum"" de 2/3 (dois terços) para aprovação, tiverem mais de 1/3 (um terço) de votos contrários","287, §4, II",,,
Vereador,Presidente da Mesa,deve,"convidar os vereadores favoráveis à proposição a permanecer como estão, bem como questionar se alguém deseja votar contrariamente, e proclamar o resultado se não houver pedido de verificação nominal, quando submeter o processo a Votação Simbólica ","294, §1, §2; 301",,,
Vereador,Presidente da Mesa,deve,"Promover a votação nominal quando, após coletar os votos na votação simbólia, receber resposta afirmativa ao questionar se algum vereador deseja a verificação nominal do resultado da votação ","294, §2; 301",,,
Vereador,Presidente da Mesa,deve,"Proclamar o resultado da votação simbólica, quando não houver pedido de verificação nominal de votação","294, §3",,,
Vereador,Presidente da Mesa,deve,Promover a votação nominal para destituição da Mesa ou de qualquer de seus membros ,"295, I; 301",,,
Vereador,Presidente da Mesa,deve,"Promover a votação nominal para parecer do Tribunal de Contas do Município sobre as contas da Mesa, do Prefeito e do próprio Tribunal","295, II; 301",,,
Vereador,Presidente da Mesa,deve,Promover a votação nominal para requerimento de prorragção das sessões ,"295, III; 301",,,
Vereador,Presidente da Mesa,deve,Promover a votação nominal para requerimento de convocação de secretário Municipal,"295, IV; 301",,,
Vereador,Presidente da Mesa,deve,"Promover a votação nominal para requerimento de inclusão de projeto em pauta, em regime de urgência","295, V; 301",,,
Vereador,Presidente da Mesa,deve,Promover a votação nominal para projeto de Zoneamento Urbano ,"295, VI; 301",,,
Vereador,Presidente da Mesa,deve,Promover a votação nominal para Plano Diretor ,"295, VII; 301",,,
Vereador,Presidente da Mesa,deve,Promover a votação nominal para projeto de Emenda à Lei Orgânica ,"295, VIII; 301",,,
Vereador,Presidente da Mesa,deve,"Proclamar o resultado e anunciar o número de votos favoráveis e contra, ao término da votação ","296, §5; 301, §4",,,
Vereador,Presidente da Mesa,deve,"Determinar processo de votação secreta para os casos previsos no artigo 104 do regimento interno, proceder à chamada dos Vereadores por ordem alfabética, admitir a votar os que comparecerem antes de encerrada a votação ",297; 298,,,
Vereador,Presidente da Mesa,deve,"Encaminhar a apuração dos votos, no processo de votação secreta, após concluída a votação ","298, §2",,,
Vereador,Presidente da Mesa,deve,"Retirar, na apuração da votação secreta, as cédulas (sobrecartas) da urna, abrir cada uma e anuciar os respectivos votos","298, I",,,
Vereador,Presidente da Mesa,deve,"Convidar escrutinadores para fazer as devidas anotações, registrar os votos, apregoar os resultados parciais, na apuração das votações secretas","298, II",,,
Vereador,Presidente da Mesa,deve,"Fazer a contagem dos votos, ler o respectivo 'Boletim de Apuração', e proclamar o resultado das voltações secretas","298, III",,,
Vereador,Presidente da Mesa,deve,Não permitir mais de uma votação nominal por votação ,"301, §1",,,
Vereador,Presidente da Mesa,deve,"Declarar prejudicado o requerimento de verificação nominal de votação, caso não se encontre presente, no momento em que for chamado pela primeira vez, o Vereador que a requereu","301, §2",,,
Vereador,Presidente da Mesa,deve,"Promover e comunicar ao Plenário a destituição automática de membro da Mesa do cargo que ocupa, quando este faltar a 5 (cinco) reuniões consecutivas ou a 10 (dez) alternadas, sem motivo justificado","31, §2",,,
Vereador,Presidente da Mesa,deve,"Conhecer e dar provimento, no prazo de 2 dias úteis, a recurso de Vereador contra sua decisão ou omissão em questão de ordem, representação ou proposição, ou encaminhá-lo à Comissão de Constituição e Justiça para parecer, caso mantenha a decisão recorrida ","312, §1",,,
Vereador,Presidente da Mesa,deve,"Incluir na pauta da Ordem do Dia da sessão seguinte o recurso de vereador contra decisão ou omissão do Presidente, após recebido o parecer da CCJ, independentemente da publicação deste","312, §3",,,
Vereador,Presidente da Mesa,deve,Cumprir a decisão do Plenário que julgar procedente recurso de vereador contra decisão ou omissão do Presidente ,"312, §4",,,
Vereador,Presidente da Mesa,deve,"Decidir sobre os casos não previstos no Regimento Interno - decisões que passam a constituir prcedenter regimentais para orientar a solução de casos análogos, junto com as interpretações regimentais feitas pelo presidente ","313, §1",,,
Vereador,Presidente da Mesa,deve,"Fazer a leitura dos precedentes regimentais condensados, até o termino da sessão ordinária seguinte","313, §2",,,
Vereador,Presidente da Mesa,deve,"Determinar a publicação, na Imprensa Oficial, dos precedentes regimentais condensados e lidos em Plenário","313, §2",,,
Vereador,Presidente da Mesa,deve,"Considerar como de iniciativa popular, para fins de tramitação especial e urgente, o projeto de lei vier subscrito por eleitores representando, pelo menos, 5% (cinco por cento) do eleitorado","317, I",,,
Vereador,Presidente da Mesa,deve,"Considerar como de iniciativa popular, para fins de tramitação especial e urgente, o projeto de emenda à Lei Orgânica do Município vier subscrito por eleitores representando, pelo menos, 5% (cinco por cento) do eleitorado municipal","317, II",,,
Vereador,Presidente da Mesa,deve,"Considerar como de iniciativa popular, para fins de tramitação especial e urgente, o requerimento para realização de plebiscito ou de referendo sobre lei vier subscrito por, pelo menos, 1% (um por cento) do eleitorado municipal","317, III",,,
Vereador,Presidente da Mesa,deve,"Ler em Plenário e despachar às Comissões processo de iniciativa popular recebido da Secretaria da Mesa, após terem sido conferidos os requisitos formais de validade ","318, §4, §5; 319",,,
Vereador,Presidente da Mesa,deve,"Incluir na pauta da Ordem do Dia o parecer conjunto das Comissões de mérito sobre projeto de iniciativa popular, na primeira sessão ordinária após a emissão do parecer","321, §u",,,
Vereador,Presidente da Mesa,deve,"Fazer a leitura das considerações sobre parecer conjunto das comissões sobre projeto de iniciativa popular enviado pelo representante da sociedade civil repsonsável pelo projeto, antes de iniciar a deliberação em Plenário","322, §3",,,
Vereador,Presidente da Mesa,deve,"Incluir os projetos orçamentários como itens iniciais da pauta da Ordem do Dia, seguidos por vetos e projetos de lei em regime de urgência, quando o projeto de lei orçamentária for incluído na pauta de sessão ordinária - que, no caso terá, duas fazes: pequeno expediente e ordem do dia","333, I",,,
Vereador,Presidente da Mesa,não pode,receber emendas a projeto de lei orçamentária durante discussão em Plenário ,"336; 337, §1; 339",,,
Vereador,Presidente da Mesa,deve,"Incluir o projeto de lei orçamentária na pauta da Ordem do Dia, para segunda discussão, no prazo de dois dias útis da sua aprovação em primeira discussão, quando não houver apresentação de emendas ","337, §1",,,
Vereador,Presidente da Mesa,não pode,receber emendas a projetos de lei orçamentária que estiverem em desacordo com as normas gerais de direito financeiro para elaboração e controle dos orçamentos ,"337, §2",,,
Vereador,Presidente da Mesa,deve,"Incluir na pauta da Ordem do Dia o parecer de redação final de projeto de lei orçamentária, no prazo de 48h após este ter sido publicado - dispensa-se a publicação caso o projeto seja incluído em pauta de sessão extraordinária ou em regime de urgência, hipótese em que se deve proceder à leitura do parecer antes de se iniciar a discussão","342; 262, §1",,,
Vereador,Presidente da Mesa,deve,"Fazer expedir o diploma de concessão de título honorífico, com a assinatura do autor da propositura, após aprovado o respectivo projeto","350, §u","14, XIX",,
Vereador,Presidente da Mesa,deve,"Referendar publicamente, com sua assinatura, a honraria outorgada, na sessão solene de entrega de títulos honoríficos ","351, §2",,,
Vereador,Presidente da Mesa,deve,Receber e providenciar sejam respondidas as interpelações de Vereadores sobre serviços administrativos prestados pela Secretaria da Câmara sob superintendência da Mesa,372; 373,,,
Vereador,Presidente da Mesa,tem competência para,"Determinar que o corpo de policiamento retire do recinto o(s) expectador(es) que se manifestarem sobre o que se passa em Plenário, podendo-se suspender ou encerrar a sessão quando a medida não for suficiente ","378, §1, §2",,,
Vereador,Presidente da Mesa,tem competência para,"Convocar à Câmara Secretários Municipais, por meio de ofício encaminhado ao Prefeito, para prestar informações que lhes forem solicitadas sobre o assunto de sua competência administrativa ","381, §2",,,
Vereador,Presidente da Mesa,deve,"encerrar a discussão por requerimento de 1/3 dos vereadores aprovado em Plenário, após transcorridas 2 horas do início da discussão, independente do numero de oradores","384, III, §",,,
Vereador,Presidente da Mesa,deve,"Despachar à Comissão de Finanças e Orçamento o parecer do Tribunal de Contas do Município com as contas a serem aprovadas, imediatamente após o recebimento ","385, 386",,,
Vereador,Presidente da Mesa,deve,"Ler e despachar à Comissão Especial denúncia de infração político-administrativa do Prefeito e do Vice-Prefeito, no prazo de 5 dias do seu recebimento","390, §2",,,
Vereador,Presidente da Mesa,deve,"Despachar e enviar ao arquivo o processo de julgamento de infrações político-administrativas, do Prefeito e Vice-Prefeito, se decorridos 90 dias da acusação e o processo não tiver sido concluído ","390, §7",,,
Vereador,Presidente da Mesa,deve,"Designar, de ofício, os membros do partido a integrarem as Comissões a que tem direito, quando no prazo
fixado a liderança não comunicar os nomes de sua representação para compor as Comissões","42, §u",,,
Vereador,Presidente da Mesa,deve,"Apreciar petição de Vereador com requerimento de destituição de membro de Comissão Permanente por faltas, e declarar vago o cargo na Comissão quando se comprovar as faltas","44, §1",,,
Vereador,Presidente da Mesa,deve,"Presidir a primeira Sessão Legislativa e dar continuidade à eleição dos demais membros da Mesa, logo após ser eleito e empossado","4º, §2",,,
Vereador,Presidente da Mesa,tem competência para,Designar os membros de Comissão de Representação da Câmara,"98, §u",,,
Vereador,Presidente de Comissão,deve,"Requisitar ao Presidente da Câmara processo ainda não chegado à Comissão, de cujo exame dependa a emissão de parecer sobre outro processo em análise pela Comissão, sendo que, neste caso, os prazos estabelecidos no artigo 63 ficarão sem fluência, por 5 (cinco) dias úteis, no máximo, a partir da data da requisição",65,,,
Vereador,Presidente de Comissão,deve,"comunicar, por escrito e com antecedência de 24 (vinte e quatro) horas, a todos os membros da Comissão quando, por qualquer motivo, a reunião de Comissão Permanente tiver de realizar-se em outro local, sendo a comunicação indispensável à validade da convocação","58, §u",,,
Vereador,Presidente de Comissão,deve,"permitir, na reunião secreta, a presença somente dos membros da Comissão e as pessoas por ela convocadas ","59, §u",,,
Vereador,Presidente de Comissão,deve,justificar os motivos quando o processo for devolvido à Secretaria sem a emissão do parecer pela Comissão,63; 64,,,
Vereador,Presidente de Comissão,deve,"conduzir a audiência pública (art. 41 da LOM) forma que possibilite a audiência de diversas correntes de opinião, quando houver defensores e opositores relativamente à matéria objeto de exame","86, §1",,,
Vereador,Presidente de Comissão,deve,"Expedir os convites a autoridades, especialistas e pessoas interessadas para falar nas audiências públicas previstas no artigo 41 da LOM ","86, III",41,,
Vereador,Presidente de Comissão,deve,Expedir convite ao  Conselho Municipal dos Direitos da Criança e do Adolescente para partipar das audiências públicas (art. 41 Lei Orgânica) que versarem sobre matéria relativa à criança e ao adolescente ,"86, III, §6",41,,
Vereador,Relator,tem a prerrogativa de,"emitir parecer verbal, nos casos previstos no Regimento, e, ao fazê-lo deverá sempre indicar os nomes dos membros da Comissão ouvidos, e declarar quais se manifestaram-se favoráveis ou contrários a sua proposição ",78,,,
Vereador,Relator,deve,"Concluir o texto definitivo do projeto, com as alterações decorrentes das emendas, redigindo parecer com a redação final do projeto, e se for constatada incorreção ou impropriedade de linguagem ou outro erro existente na matéria aprovada, poderá corrigi-lo, desde que a correção não implique em deturpação da vontade legislativa, devendo, nesta hipótese, mencionar expressamente, em seu parecer, a alteração feita, com ampla justificação ",259,,,
Vereador,Relator,deve,"fazer a leitura da propositura, de sua justificativa e relatórios das Comissões competentes, bem como a declaração do número de eleitores que a subscrevem, no início da audiência pública convocada para apreciação de projeto de iniciativa popular ","230, §2, I",,,
Vereador,Relator,Tem competência para,"voltar à tribuna, durante 15 minutos além do tempo regimental de fala, para dar explicação, quando for autor ou relator de proposição, por requerimento de 1/3 dos membros da Câmara ","279, §§",,,
Vereador,Relator,tem a prerrogativa de,"poder voltar à tribuna durante 15 minutos, além do tempo regimental de fala, para dar explicação sobre projeto da Comissão, por requerimento escrito de 1/3 dos membros da Câmara ","279, §1",,,
Vereador,Relator,Tem competência para,"Falar ao Plenário para discutir processo de destuição dos membros da mesa, ou 120 minutos, com apartes","306, V, g",,,
Vereador,Relator,deve,"manifestar-se em parecer conjunto, no prazo de 7 dias do recebimento do projeto, os relatores designados para apreciar projeto de iniciativa popular ","319, §2",,,
Vereador,Relator,deve,"examinar e emitir parecere sobre projetos e demais proposições distribuídos às Comissões, sendo a prévia manifestação das Comissões condição para discussão e a votação de projetos ","62, §u; 173, §4",,,
Vereador,Relator,deve,"manifestar-se por escrito sobre a matéria submetida a seu apreço, no prazo de oito dias a partir da data da distribuição (designada pelo Presidente) ","63, §3",,,
Vereador,Relator,deve,"emitir Parecer sobre projeto submetido a seu apreço, o qual consiste no pronunciamento oficial da Comissão sobre qualquer matéria sujeita ao seu estudo e, salvo nos casos expressamente previstos no RI, deverá ser escrito e constar de 3 (três) partes: I - exposição da matéria em exame; II - conclusão do relator, tanto quanto possível sintética, com sua opinião sobre a conveniência da aprovação ou rejeição total ou parcial da matéria e, quando for o caso, oferecendo-lhe substitutivo ou emenda; III - decisão da Comissão, com a assinatura dos membros que votaram a favor ou contra. O parecer deverá ser publicado em até 3 (três) dias úteis após sua deliberação. ","74; 75, §3",,,
Vereador,Relator da Comissão Processante,tem competência para,"falar ao plenário para discutir a matéria, por 120 minutos, com apartes ","306, V, g",,,
Vereador,representante da Bancada,Tem competência para,"gozar de preferência para encaminhar a votação, quando for o Vereador indicado pela Bancada",291,,,
Vereador,representante da Bancada,Tem competência para,"gozar de preferência para encaminhar a votação, o Líder, Vice-Líder ou o Vereador indicado pela Bancada",291,,,
Vereador,representante da Bancada,Tem competência para,"requerer à Mesa que declare a perda de mandato de Vereador que deixar de comparecer, em cada sessão legislativa, à terça parte das sessões ordinárias, salvo licenças ou missão autorizada pela Câmara; que perder ou tiver suspensos os direitos políticos; ou quando a Justiça Eleitoral o decretar, assegurado o direito de defesa","125, §3",,,
Vereador,representante da Bancada,Tem competência para,"falar por 5 minutos, como representante da bancada, para propor a seus pares a orientação quanto ao mérito da matéria a ser votada, durante o encaminhamento de votação, vedado apartes","290, §u",,,
Vereador,Suplente,deve,"tomar posse no prazo de 15 dias quando convocado pelo Presidente, em casos de vaga em razão de morte ou renúncia, de investidura em função de Ministro de Estado, Secretário de Estado, Secretário Municipal ou chefe de missão diplomática temporária, e quando esteja o Vereador em licença por período superior a 30 (trinta) dias, ressalvados os casos de motivo justo aceito pela Câmara","117, 118","22, §1",,
Vereador,Suplente,deve,ocupar a lista de chamada do vereador efetivo nos pequeno e grande expedientes,"157, §4; 160, §5",,,
Vereador,Suplente,não pode,ser eleito e nem assumir a presidência e vice-presidência das Comissões,"41, §2",,,
Vereador,Vereador,Tem competência para,"Representar ao Plenário (assinatura de 1/2 da Casa) pela destituição de membro da mesa, apresentando ampla e circunstanciada fundamentação, que deverá ser lida em qualquer sessão por qualquer um de seus signatários",32,,,
Vereador,Vereador,Tem competência para,"Requerer ao Presidente da Mesa que determine a inclusão do projeto na Ordem do Dia, ainda que sem os pareceres necessários, após decorrido o prazo de todas as Comissões a que o projeto tenha sido enviado",67,,,
Vereador,Vereador,tem a prerrogativa de,"Gozar de inviolabilidade por suas opiniões, palavras e votos no exercício do mandato, na circunscrição do Município, não podendo ser obrigados a testemunhar sobre informações recebidas ou prestadas em razão do exercício do mandato, nem sobre as pessoas que lhes confiaram ou deles receberam informações",107,"16, §u",,
Vereador,Vereador,tem a prerrogativa de,"afastar-se do cargo, emprego ou função, quando for servidor público investido no mandato de Vereador, sendo-lhe facultado optar pelos seus vencimentos ou pela remuneração do mandato, devendo ter seu tempo de serviço contado para todos os efeitos legais, exceto para promoção por merecimento",108,,,
Vereador,Vereador,Tem competência para,"viajar ao exterior a serviço do Município, com designação e concessão de licença pela Câmara para tal fim, podendo ter sua viagem sobvencionada por esta",110,,,
Vereador,Vereador,Tem competência para,"deixar de comparecer às reuniões por motivo justo - doença, nojo ou gala, licença-gestante ou paternidade e desempenho de missões oficiais da Câmara - mediante justificação das faltas mediante requerimento fundamentado ao Presidente da Câmara, que o julgará na forma do inciso IV do artigo 18",111,,,
Vereador,Vereador,tem a prerrogativa de,prorrogar o seu tempo de licença mediante novo pedido ao Presidente da Mesa,114,,,
Vereador,Vereador,tem a prerrogativa de,"escolher entre os vencimentos do cargo ou pela remuneração do mandato, a partir da respectiva posse, quando licenciado por ter sido investido na função de Ministro de Estado, Secretário de Estado, Secretário Municipal ou chefe de missão diplomática temporária",115,21,,
Vereador,Vereador,não pode,"retratar-se da denúncia, após ter esta sido lida e comunicada ao plenário",128,,,
Vereador,Vereador,deve,"trajar paletó e gravata durante as sessões, momento em que somente os Vereadores são autorizados a permanecer no recinto ",138,,,
Vereador,Vereador,Tem competência para,"Requerer a republicação de toda matéria que for publicada com erros, omissões, incorreções ou empastelamentos evidentes e graves que lhe modifiquem o sentido, dentro de 3 (três) dias",148,,,
Vereador,Vereador,Tem competência para,"Requerer (por maioria absoluta) que, por motivo justo, o Presidente deixe de organizar a pauta e não convoque a sessão",155,,,
Vereador,Vereador,Tem competência para,"Falar por 5 minutos improrrogáveis, no Pequeno Expediente, sobre assunto de sua livre escolha ",157,,,
Vereador,Vereador,Tem competência para,"Falar por 15 minutos improrrogáveis, no Grande Expediente, sobre assunto de sua livre escolha",160,,,
Vereador,Vereador,Tem competência para,"Requerer, com subscrição de no mínimo 2/3 dos Vereadores, a excepcional convocação de Sessão Secreta, que será
deferido de plano pelo Presidente da Mesa 
",195,,,
Vereador,Vereador,Tem competência para,"requerer que seu discurso seja reduzido por escrito e juntado à ata da sessão, o vereador que participar dos debates da Sessão Secreta",200,,,
Vereador,Vereador,Tem competência para,"Requerer, com subscrição de no mínimo 2/3 dos vereadores, que, excepcionalmente, a Câmara se declare em Sessão Permanente (maioria absoluta)",202,,,
Vereador,Vereador,deve,"permanecer em constante vigília quando a Câmara estiver em Sessão Permanente, acompanhando a evolução dos acontecimentos e pronta para, a qualquer momento, reunir-se em sessão plenária e adotar qualquer deliberação, assumindo as posições que o interesse público exigir",204,,,
Vereador,Vereador,Tem competência para,"Convocar, no transcorrer de Sessão Permanente, por requerimento subscrito por 1/3 da casa, sessão extraordinária exclusivamente para apreciar matéria de prazo fatal, suspendendo-se temporariamente a sessão permanente",205,,,
Vereador,Vereador,Tem competência para,"Requerer a reapresentação de projeto de lei de iniciativa da câmara rejeitado na mesma sessão legislativa, com subscrição da maioria absoluta dos Vereadores",215,,,
Vereador,Vereador,não pode,apresentar emendas a requerimentos,222,,,
Vereador,Vereador,Tem competência para,Apresentar requerimento que solicite informação sobre fato relacionado com matéria legislativa em trâmite ou sobre fato sujeito à fiscalização da Câmara,224,,,
Vereador,Vereador,Tem competência para,"Falar ao Plenário por 5 minutos para discutir requerimentos que comportem discussão, não sendo admitido encaminhamento de votação nem declaração de voto",227,,,
Vereador,Vereador,Tem competência para,"Apresentar substitutivos à Moções, às quais nao cabe emenda",230,,,
Vereador,Vereador,Tem competência para,Aprentar projeto de Resolução que crie cargos na Secretaria da Câmara,247,,,
Vereador,Vereador,Tem competência para,Falar por 30 minutos para discutir o projeto em fase de primeira discussão,249,,,
Vereador,Vereador,deve,"apresentar inscrição de próprio punho quando quiser falar na discussão de proposição na pauta da Ordem do Dia, em Plenário, perante o Presidente, a partir do início da sessão, na respectiva lista de inscrição, declarando-se contra ou a favor da proposição",277,,,
Vereador,Vereador,Tem competência para,"Requerer, com subscrição de 1/3 dos membros da casa, que o autor ou relator de projeto volte à tribuna por 15 minutos, além do tempo regimental de fala, para dar explicações",279,,,
Vereador,Vereador,Tem competência para,reinscrever-se para falar na Tribuna quando estiver ausente no momento em que for chamado à fala,280,,,
Vereador,Vereador,Tem competência para,"Reapresentar requerimento de encerramento da discussão, quando ete ja tiver sido rejeitado e quatro vereadores tiverem falado apos a rejeição",286,,,
Vereador,Vereador,Tem competência para,"Votar, no processo de votação secreta, os Vereadores que comparecerem antes de encerrada a votação ",298,,,
Vereador,Vereador,Tem competência para,"Suscitar dúvida quanto ao resultado proclamado das votações secretar, somente antes de anunciada a discussão ou votação de nova matéria, ou, se for o caso, antes de se passar à nova fase da sessão ou de encerrarse a Ordem do Dia",299,,,
Vereador,Vereador,Tem competência para,"Responder à questão de ordem, quando for o caso, imediatamente, ou em fase posterior da mesma sessão, ou na sessão seguinte ",310,,,
Vereador,Vereador,deve,"Estar presente nas sessões extraordinárias convocadas, em período de recesso, para fim específico previamente determinado",327,,,
Vereador,Vereador,Tem competência para,"Propor emendas a projetos de leis orçamentárias, com subscrição de 1/3 dos Vereadores, que ficarão à disposição sobre a Mesa nas sessões ordinárias seguintes à aprovação em primeira discussão ",337,,,
Vereador,Vereador,Tem competência para,"Propor autorização do legislativo para a utilização, mediante créditos especiais ou suplementares, dos recursos que restarem sem despesa correspondente na lei orçamentaria anual, por ocorrência de veto, emenda ou rejeição do projeto da LOA",345,"138, §8",,
Vereador,Vereador,não pode,retirar sua assinatura quando for signatário de projeto de concessão de honraria,349,,,
Vereador,Vereador,Tem competência para,"Falar ao Plenário para discutir projeto de concessão de honraria, por 15 minutos ",350,,,
Vereador,Vereador,Tem competência para,Requerer a convocação de sessão solene para entrega de títulos honoríficos ,351,,,
Vereador,Vereador,Tem competência para,"Interpelar a Mesa sobre os serviços administrativos realizados pela Secretaria da Câmara, mediante formulação escrita dirigida ao Presidente",373,,,
Vereador,Vereador,não pode,"portar arma dentro da câmara, proibição que se estende a qualquer outra pessoa fora do corpo de policiamento",377,,,
Vereador,Vereador,Tem competência para,"Interpelar o Secretário Municipal sobre outros assuntos relevantes que, por dever de ofício, seja obrigado a conhecer, quando não houver mais questionamentos a serem feitos sobre os motivos que ensejaram a convocação da sessão extraordinária para oitiva deste ",384,,,
Vereador,Vereador,Tem competência para,"Requerer à mesa, por maioria absoluta, decisão para realização de Sessão fora da sede da Câmara ","1, §2",,,
Vereador,Vereador,deve,"Desimcompatibilizar-se, no ato da posse, bem como apresentar o respectivo diploma, prestar o compromisso regimental no decorrer da sessão e, na mesma ocasião, bem como ao término do mandato, fazer a declaração pública de seus bens, a ser transcrita em livro próprio, constando de ata o seu resumo, e publicada na Imprensa Oficial, no prazo máximo de 30 (trinta) dias","106, §1, §3","15, §1",,
Vereador,Vereador,deve,"tomar posse, no prazo de 15 (quinze) dias na sessão solene de instalação da Câmara, quando não o fizer nesta sessão, ressalvados os casos de motivo justo e aceito pela Câmara","106, §2","15, §2",,
Vereador,Vereador,deve,residir no Município ,"109, I",,,
Vereador,Vereador,deve," comparecer à hora regimental, nos dias designados para a abertura das sessões, nelas permanecendo até o seu término","109, II",,,
Vereador,Vereador,deve,votar as proposições submetidas à deliberação da Câmara,"109, III",,,
Vereador,Vereador,deve,"desempenhar-se dos encargos que lhe forem cometidos, salvo motivo justo alegado perante o Presidente, a Mesa ou a Câmara, conforme o caso","109, IV",,,
Vereador,Vereador,deve,"comparecer às reuniões das Comissões Permanentes e Temporárias das quais seja integrante, prestando informações, emitindo pareceres nos processos a ele distribuídos, com a observância dos prazos regimentais ","109, V",,,
Vereador,Vereador,deve,propor à Câmara todas as medidas que julgar convenientes aos interesses do Município e à segurança e ao bem-estar dos munícipes,"109, VI",,,
Vereador,Vereador,deve,impugnar todas as medidas que lhe pareçam contrárias ao interesse público,"109, VI",,,
Vereador,Vereador,deve,"comunicar sua falta ou ausência, quando tiver motivo justo para deixar de comparecer às sessões plenárias ou às reuniões das Comissões","109, VII",,,
Vereador,Vereador,não pode,"Deixar de comparecer às sessões sem motivo justificado. Em casos de falta injustificada, a remuneração dos Vereadores sofrerá desconto de 1/20 (um vinte avos)","111, 124",,,
Vereador,Vereador,tem a prerrogativa de,"ter permissão para licenciar-se por motivo de doença devidamente comprovada, mediante comunicação escrita dirigida ao Presidente da Câmara","112, I, §1",,,
Vereador,Vereador,tem a prerrogativa de,"ter permissão para licenciar-se em face de licença gestante ou paternidade, mediante comunicação escrita dirigida ao Presidente da Câmara","112, II, §1",,,
